PMID,Journal_Information,Publication_Year,Publication_Country,DOI_Number,Title,Author_List,Key_Words
35059311,Frontiers in oncology,2022,China,10.3389/fonc.2021.766939.,Construction and Validation of a Lung Cancer Risk Prediction Model for Non-Smokers in China,"Lan-Wei Guo, Zhang-Yan Lyu, Qing-Cheng Meng, Li-Yang Zheng, Qiong Chen, Yin Liu, Hui-Fang Xu, Rui-Hua Kang, Lu-Yao Zhang, Xiao-Qin Cao, Shu-Zheng Liu, Xi-Bin Sun, Jian-Gong Zhang, Shao-Kai Zhang",forecasting; lung cancer; non-smokers; risk model; validation
29621362,JAMA oncology,2018,England,10.1001/jamaoncol.2018.0174.,Long-term Accuracy of Breast Cancer Risk Assessment Combining Classic Risk Factors and Breast Density,"Adam R Brentnall, Jack Cuzick, Diana S M Buist, Erin J Aiello Bowles",
29574637,Breast cancer research and treatment,2018,USA,10.1007/s10549-018-4763-5.,Validation of a personalized risk prediction model for contralateral breast cancer,"Marzana Chowdhury, David Euhus, Banu Arun, Chris Umbricht, Swati Biswas, Pankaj Choudhary",Absolute risk; CBCRisk; Contralateral breast cancer; Contralateral prophylactic mastectomy
37511678,Journal of personalized medicine,2023,UK,10.3390/jpm13071065.,Development and Validation of Risk Prediction Models for Colorectal Cancer in Patients with Symptoms,"Wei Xu, Ines Mesa-Eguiagaray, Theresa Kirkpatrick, Jennifer Devlin, Stephanie Brogan, Patricia Turner, Chloe Macdonald, Michelle Thornton, Xiaomeng Zhang, Yazhou He, Xue Li, Maria Timofeeva, Susan Farrington, Farhat Din, Malcolm Dunlop, Evropi Theodoratou",colorectal cancer; polygenic risk score; prediction model; symptoms
33390155,BMC medicine,2021,Germany,10.1186/s12916-020-01826-0.,Development and validation of a lifestyle-based model for colorectal cancer risk prediction: the LiFeCRC score,"Krasimira Aleksandrova, Robin Reichmann, Rudolf Kaaks, Mazda Jenab, H Bas Bueno-de-Mesquita, Christina C Dahm, Anne Kirstine Eriksen, Anne Tjønneland, Fanny Artaud, Marie-Christine Boutron-Ruault, Gianluca Severi, Anika Hüsing, Antonia Trichopoulou, Anna Karakatsani, Eleni Peppa, Salvatore Panico, Giovanna Masala, Sara Grioni, Carlotta Sacerdote, Rosario Tumino, Sjoerd G Elias, Anne M May, Kristin B Borch, Torkjel M Sandanger, Guri Skeie, Maria-Jose Sánchez, José María Huerta, Núria Sala, Aurelio Barricarte Gurrea, José Ramón Quirós, Pilar Amiano, Jonna Berntsson, Isabel Drake, Bethany van Guelpen, Sophia Harlid, Tim Key, Elisabete Weiderpass, Elom K Aglago, Amanda J Cross, Konstantinos K Tsilidis, Elio Riboli, Marc J Gunter",Cancer prevention; Colorectal cancer; Lifestyle behaviour; Risk prediction; Risk screening
36493335,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2023,UK,10.1200/JCO.22.01453.,"CanRisk-Prostate: A Comprehensive, Externally Validated Risk Model for the Prediction of Future Prostate Cancer","Tommy Nyberg, Mark N Brook, Lorenzo Ficorella, Andrew Lee, Joe Dennis, Xin Yang, Naomi Wilcox, Tokhir Dadaev, Koveela Govindasami, Michael Lush, Goska Leslie, Artitaya Lophatananon, Kenneth Muir, Elizabeth Bancroft, Douglas F Easton, Marc Tischkowitz, Zsofia Kote-Jarai, Rosalind Eeles, Antonis C Antoniou",
35875103,Frontiers in oncology,2022,China,10.3389/fonc.2022.941349.,Machine Learning-Based Models Enhance the Prediction of Prostate Cancer,"Sunmeng Chen, Tengteng Jian, Changliang Chi, Yi Liang, Xiao Liang, Ying Yu, Fengming Jiang, Ji Lu",machine learning; prediction models; prostate biopsy; prostate cancer; prostate-specific antigen
33669642,Cancers,2021,Korea,10.3390/cancers13040876.,Gastric Cancer Risk Prediction Using an Epidemiological Risk Assessment Model and Polygenic Risk Score,"Boyoung Park, Sarah Yang, Jeonghee Lee, Il Ju Choi, Young-Il Kim, Jeongseon Kim",polygenic risk score; risk assessment; stomach neoplasm
33223755,Chinese journal of cancer research = Chung-kuo yen cheng yen chiu,2020,China,10.21147/j.issn.1000-9604.2020.05.05.,Classifying risk level of gastric cancer: Evaluation of questionnaire-based prediction model,"Maomao Cao, He Li, Dianqin Sun, Lin Lei, Jiansong Ren, Jufang Shi, Ni Li, Ji Peng, Wanqing Chen",China; Gastric cancer; risk assessment; risk factors
36568745,Frontiers in public health,2022,China,10.3389/fpubh.2022.955287.,Development and validation of a risk prediction model for incident liver cancer,"Yingxin Liu, Jingyi Zhang, Weifeng Wang, Guowei Li",liver cancer; nomogram; risk management; risk prediction; screening
39350987,World journal of gastrointestinal oncology,2024,China,10.4251/wjgo.v16.i9.3839.,Construction and evaluation of a liver cancer risk prediction model based on machine learning,"Ying-Ying Wang, Wan-Xia Yang, Qia-Jun Du, Zhen-Hua Liu, Ming-Hua Lu, Chong-Ge You",Cirrhosis; Hepatocellular carcinoma; Machine learning; Prediction model; Random forest
36772237,"Sensors (Basel, Switzerland)",2023,Greece,10.3390/s23031193.,Long-Term Coronary Artery Disease Risk Prediction with Machine Learning Models,"Maria Trigka, Elias Dritsas",coronary artery disease; feature analysis; healthcare; long-term risk prediction; machine learning
39553308,Journal of inflammation research,2024,China,10.2147/JIR.S475639.,Identification of Hub Genes and Immune Infiltration in Coronary Artery Disease: A Risk Prediction Model,"Wenchao Xie, Wang Liao, Hongming Lin, Guanglin He, Zhaohai Li, Lang Li",DEmiRNA-DEG regulatory network; coronary artery disease; immune infiltration; immune score; nomogram
35983181,Frontiers in cardiovascular medicine,2022,China,10.3389/fcvm.2022.946063.,Development and validation of a carotid atherosclerosis risk prediction model based on a Chinese population,"Guoqing Huang, Qiankai Jin, Xiaoqing Tian, Yushan Mao",carotid atherosclerosis; early diagnosis; independent risk factors; nomogram; prediction model
33936038,Frontiers in immunology,2021,China,10.3389/fimmu.2021.622216.,Establishing a Risk Prediction Model for Atherosclerosis in Systemic Lupus Erythematosus,"Haiping Xing, Haiyu Pang, Tian Du, Xufei Yang, Jing Zhang, Mengtao Li, Shuyang Zhang",RNA-Seq; atherosclerosis; differential gene analysis; prediction model; systemic lupus erythematosus
36581881,BMC medical informatics and decision making,2022,China,10.1186/s12911-022-02090-3.,Transferability and interpretability of the sepsis prediction models in the intensive care unit,"Qiyu Chen, Ranran Li, ChihChe Lin, Chiming Lai, Dechang Chen, Hongping Qu, Yaling Huang, Wenlian Lu, Yaoqing Tang, Lei Li",Intensive care unit; Machine learning; Model interpretability; Prognostication; Sepsis; Transfer learning
34255071,Journal of the National Cancer Institute,2022,USA,10.1093/jnci/djab138.,Development and Validation of a Risk Prediction Model for Second Primary Lung Cancer,"Eunji Choi, Nilotpal Sanyal, Victoria Y Ding, Rebecca M Gardner, Jacqueline V Aredo, Justin Lee, Julie T Wu, Thomas P Hickey, Brian Barrett, Thomas L Riley, Lynne R Wilkens, Ann N Leung, Loïc Le Marchand, Martin C Tammemägi, Rayjean J Hung, Christopher I Amos, Neal D Freedman, Iona Cheng, Heather A Wakelee, Summer S Han",
33659912,"Patterns (New York, N.Y.)",2021,USA,10.1016/j.patter.2020.100196.,An interpretable deep-learning model for early prediction of sepsis in the emergency department,"Dongdong Zhang, Changchang Yin, Katherine M Hunold, Xiaoqian Jiang, Jeffrey M Caterino, Ping Zhang",DII challenge; deep learning; emergency department; interpretability; sepsis prediction
39076472,Reviews in cardiovascular medicine,2024,Taiwan,10.31083/j.rcm2505179.,Noninvasive Risk Prediction Models for Heart Failure Using Proportional Jaccard Indices and Comorbidity Patterns,"Yueh Tang, Chao-Hung Wang, Prasenjit Mitra, Tun-Wen Pai",alpha index; alpha proportional jaccard index; electronic medical records; heart failure; odds ratio; odds ratio proportional jaccard index; precision prevention; proportional jaccard index; telehealth
39611013,PeerJ,2024,China,10.7717/peerj.18605.,Risk factors and prediction models for recurrent acute ischemic stroke: a retrospective analysis,"Liuhua Ke, Hongyu Zhang, Kang Long, Zheng Peng, Yongjun Huang, Xingxuan Ma, Wanjun Wu",Acute ischemic stroke; LASSO regression; Machine learning; Recurrence; Univariate analysis
34860663,JMIR formative research,2021,Arabia,10.2196/23440.,Predicting Risk of Stroke From Lab Tests Using Machine Learning Algorithms: Development and Evaluation of Prediction Models,"Eman M Alanazi, Aalaa Abdou, Jake Luo",lab tests; machine learning technology; predictive analytics; stroke
37970129,World journal of diabetes,2023,China,10.4239/wjd.v14.i10.1541.,Establishment and evaluation of a risk prediction model for gestational diabetes mellitus,"Qing Lin, Zhuan-Ji Fang",Gestational diabetes mellitus; Model evaluation; Nomograms; Prediction model; Random forest model; Risk factor
36456970,BMC pregnancy and childbirth,2022,China,10.1186/s12884-022-05219-4.,Risk prediction models of gestational diabetes mellitus before 16 gestational weeks,"Yiling Wei, Andong He, Chaoping Tang, Haixia Liu, Ling Li, Xiaofeng Yang, Xiufang Wang, Fei Shen, Jia Liu, Jing Li, Ruiman Li",Early pregnancy; Gestational diabetes mellitus; Nomogram; Prediction model
34233656,BMC neurology,2021,China,10.1186/s12883-021-02276-8.,Construction of a risk prediction model for Alzheimer's disease in the elderly population,"Lingling Wang, Ping Li, Ming Hou, Xiumin Zhang, Xiaolin Cao, Hongyan Li",Alzheimer’s disease; Diagnosis; Nomogram; Prediction model; Risk factor
32324812,PloS one,2020,Mexico,10.1371/journal.pone.0232103.,Improving predictive models for Alzheimer's disease using GWAS data by incorporating misclassified samples modeling,"Brissa-Lizbeth Romero-Rosales, Jose-Gerardo Tamez-Pena, Humberto Nicolini, Maria-Guadalupe Moreno-Treviño, Victor Trevino",
35365675,NPJ Parkinson's disease,2022,USA,10.1038/s41531-022-00288-w.,Multi-modality machine learning predicting Parkinson's disease,"Mary B Makarious, Hampton L Leonard, Dan Vitale, Hirotaka Iwaki, Lana Sargent, Anant Dadu, Ivo Violich, Elizabeth Hutchins, David Saffo, Sara Bandres-Ciga, Jonggeol Jeff Kim, Yeajin Song, Melina Maleknia, Matt Bookman, Willy Nojopranoto, Roy H Campbell, Sayed Hadi Hashemi, Juan A Botia, John F Carter, David W Craig, Kendall Van Keuren-Jensen, Huw R Morris, John A Hardy, Cornelis Blauwendraat, Andrew B Singleton, Faraz Faghri, Mike A Nalls",
34745218,Frontiers in genetics,2021,Germany,10.3389/fgene.2021.744557.,Interaction-Based Feature Selection Algorithm Outperforms Polygenic Risk Score in Predicting Parkinson's Disease Status,"Justin L Cope, Hannes A Baukmann, Jörn E Klinger, Charles N J Ravarani, Erwin P Böttinger, Stefan Konigorski, Marco F Schmidt",PPMI (parkinson’s progression markers initiative); epistasis; feature selection; machine learning; parkinson's disease
34528757,ESC heart failure,2021,USA,10.1002/ehf2.13429.,Risk factors and prediction models for incident heart failure with reduced and preserved ejection fraction,"Liam Gaziano, Kelly Cho, Luc Djousse, Petra Schubert, Ashley Galloway, Yuk-Lam Ho, Katherine Kurgansky, David R Gagnon, John P Russo, Emanuele Di Angelantonio, Angela M Wood, John Danesh, John Michael Gaziano, Adam S Butterworth, Peter W F Wilson, Jacob Joseph",Electronic health records; Heart failure; Heart failure with preserved ejection fraction; Heart failure with reduced ejection fraction; Risk prediction
35141294,Frontiers in cardiovascular medicine,2022,China,10.3389/fcvm.2021.808071.,Risk Prediction Model for Uncontrolled Hypertension in Chinese Community,"Zhiping Gao, Shiqun Chen, Xiaoyu Huang, Jianfeng Ye, Jin Liu, Zhidong Huang, Jiyan Chen, Liwen Li, Yong Liu, Shuguang Lin",community; prediction model; risk factor; screen; uncontrolled hypertension
35896590,Scientific reports,2022,Canada,10.1038/s41598-022-16904-x.,Development and validation of a hypertension risk prediction model and construction of a risk score in a Canadian population,"Mohammad Ziaul Islam Chowdhury, Alexander A Leung, Khokan C Sikdar, Maeve O'Beirne, Hude Quan, Tanvir C Turin",
41987941,Proc SPIE Int Soc Opt Eng,2026,United States,10.1117/12.3087567,Cohort-Aware Agents for Individualized Lung Cancer Risk Prediction Using a Retrieval-Augmented Model Selection Framework,"Chongyu Qu, Allen J Luna, Thomas Z Li, Junchao Zhu, Junlin Guo, Juming Xiong, Kim L Sandler, Bennett A Landman, Yuankai Huo",AI Agent; Retrieval-augmented Generation; Risk Prediction
41957866,Breast Cancer Res,2026,United States,10.1186/s13058-026-02274-z,Performance of three breast cancer risk assessment tools in US Black women,"Gary Zirpoli, Ruth M Pfeiffer, Julie R Palmer",Black women; Breast cancer incidence; Risk prediction model
41299673,J Transl Med,2025,China,10.1186/s12967-025-07494-z,From biomarker to clinical utility: translating the advanced lung cancer inflammation index into a machine learning-driven risk stratification tool for colorectal cancer,"Ming Gao, Ying Li, Huimei Wang, Jinming Zhang, Guangxun Zhang, Nan Zhang",Advanced lung cancer inflammation index; Boruta algorithm; Colorectal cancer; Machine learning algorithm; National health and nutrition examination survey
41883289,Diabetes Obes Metab,2026,United States,10.1111/dom.70690,Polygenic Risk Score Predicts Prostate Cancer Risk Independent of Type 2 Diabetes,"Guk Jin Lee, Sang-Hyuk Jung, Jonghyun Lee, Ki Won Moon, Penn Medicine Biobank, Jae-Seung Yun, Dokyoon Kim",diabetes mellitus; insulin-like growth factor-1; polygenic risk score; prostatic neoplasms
42015082,BMC Med Inform Decis Mak,2026,China,10.1186/s12911-026-03461-w,Development and validation of an interpretable machine learning model for predicting the risk of coronary heart disease risk in diabetes mellitus patients: a dual-center retrospective study,"Ye Kuang, Yan Yu, Jing Li, Chuanmei Peng, Yong Ji, Jinrong Tian, Sulian Chen, Jia Wang, Lei Feng",Coronary heart diseaser; Diabetes mellitus; Dual-center study; LGBM model; Machine learning
41861086,J Diabetes Res,2026,Bangladesh,10.1155/jdr/1799434,Machine-Learning-Based Prediction of Hypertension and Its Risk Factors Among Adults in the Northern Region of Bangladesh,"Most Nusrat Jahan Resma, Md Kabir Bin Karim, Isteaq Kabir Sifat, Md Abdul Kayum, Md Kaderi Kibria",Bangladesh; Dinajpur District; SHAP analysis; hypertension; machine-learning technique; risk factor
42037684,Front Neurol,2026,China,10.3389/fneur.2026.1822304,A hybrid random forest model for stroke risk prediction,"Qixuan Lu, Shuo Li, Hongyuan Xu, Hui Shen, Yufei Wei",machine learning; prediction model; random forest; risk stratification; stroke
42039745,Front Cell Infect Microbiol,2026,China,10.3389/fcimb.2026.1792743,Machine learning-based risk prediction model for sepsis development in patients with multidrug-resistant Pseudomonas aeruginosa infections: a multicenter retrospective cohort study,"Chang Li, Ting Shi, Guanyu Xiao, Yixin Zhang, Yuanyuan Wang, Yong Liang, Chaogui Tang, Ning Lin, Kai Wang",SHAP; clinical decision support; machine learning; multidrug-resistant Pseudomonas aeruginosa; risk prediction; sepsis
42061389,Lancet Diabetes Endocrinol,2026,United States,10.1016/S2213-8587(25)00405-X,Multi-ancestry polygenic risk scores for the prediction of type 2 diabetes and complications in diverse ancestries,"Alicia Huerta-Chagoya, Joohyun Kim, Ravi Mandla, Yingchang Lu, Ken Suzuki, Lauren E Petty, Hong Kiat Ng, Jaewon Choi, Simon Lee, Madhusmita Rout, Kuang Lin, Katherine Taylor, ENSA Genomics Consortium, Genes & Health Research Team, VA Million Veteran Program, D-PRISM Consortium",polygenic risk score; type 2 diabetes; multi-ancestry; diabetic complications; diverse ancestries
42019885,Clin Nutr ESPEN,2026,China,10.1016/j.clnesp.2026.103300,Beyond BMI: The integrated impact of obese-metabolic-anthropometric phenotypes on chronic kidney disease risk,"Zihan Xu, Yingbai Wang, Jiaofeng Xiang, Chuxun Zhou, Xizhi Zhang, Jia Wang, Suru Yue, Xuefei Hou, Jiayuan Wu, Zhirong Zeng",Chronic kidney disease; Obese-metabolic-anthropometric phenotypes; Population attributable risk; Risk stratification; UK biobank
40117478,Blood Adv,2025,Austria,10.1182/bloodadvances.2025016044,Validation of risk assessment models for venous thromboembolism in patients with cancer receiving systemic therapies,"Nikola Vladic, Cornelia Englisch, Julia M Berger, Florian Moik, Anna S Berghoff, Matthias Preusser, Ingrid Pabinger, Cihan Ay",
41952123,BMC Geriatr,2026,China,10.1186/s12877-026-07423-9,Development and validation of an osteoporosis risk-assessment model for Chinese older adults: a large-scale retrospective study,"Ming Xu, Xiang Ni, Li-Xiang Zhang, Ling-Yun Tian, Xin-Min Chu",Assessment model; Influencing factors; Nomogram; Older adults; Osteoporosis
40670424,Scientific reports,2025,Taiwan,10.1038/s41598-025-08254-1,Polygenic risk scores of rheumatoid arthritis associated with seropositivity and bone erosions in a Taiwanese population,"Ting-Shuan Wu, Yen-Ju Chen, Chia-Ni Hsiung, Chien-Lin Mao, Chia-Yi Wei, I-Chieh Chen, Chung-Mao Kao, Tzu-Hung Hsiao, Wen-Nan Huang, Yi-Hsing Chen, Yi-Ming Chen",RA; Anti-citrullinated protein antibody; Bone erosion; PRS; Rheumatoid factor; Seropositivity
39510220,Clin Gastroenterol Hepatol,2025,United Kingdom,10.1016/j.cgh.2024.09.033,Dietary Antioxidant Capacity Genetic Susceptibility and Polymorphism and Inflammatory Bowel Disease Risk in a Prospective Cohort,"Jie Chen, Lintao Dan, Shuai Yuan, Tian Fu, Jiangwei Sun, Alicja Wolk, Jonas F Ludvigsson, Xue Li, Xiaoyan Wang, Susanna C Larsson",Inflammatory Bowel Disease; Polygenic Risk Score; SOD2; Total Antioxidant Capacity
40739282,Scientific reports,2025,Italy,10.1038/s41598-025-12626-y,Predictive algorithm for COVID-19 infection risk in indoor environments,"Chiara Rucco, Prisco Piscitelli, Antonella Longo, Ali Aghazadeh Ardebili, Alessandro Miani, Enrico Greco",Air pollution; Air quality monitoring; Algorithm; Environmental pollution; Global pandemic (COVID-19); Particulate matter; Predictive
40624673,Eur J Med Res,2025,China,10.1186/s40001-025-02710-4,Risk stratification system and visualized dynamic nomogram constructed for predicting postoperative pneumonia in geriatric patients with hip fracture,"Wanyun Tang, Yudong Hou, Chenglin Bai, Yaohua Shang",Geriatric; Hip fracture; Nomogram; Postoperative pneumonia; Prediction model
40498087,Pediatr Nephrol,2025,China,10.1007/s00467-025-06834-x,Risk factors for predicting acute kidney injury in children with septic shock: a retrospective cohort study,"Yu Fang, Weihong Zheng, Kepei Chen, Qiqi Gao, Wenwen Jin, Wei Hu, Yu Chen, Zhenlang Lin, Guoquan Pan, Wei Lin",Acute kidney injury; Clinical prediction model; Nomogram; Risk factors; Sepsis; Septic shock
41022462,BMJ,2025,Sweden,10.1136/bmj-2024-083182,Use of new CORE risk score to predict 10 year risk of liver cirrhosis in general population: population based cohort study,"Rickard Strandberg, Fredrik Aberg, Juho V Asteljoki, Panu K Luukkonen, Veikko Salomaa, Antti Jula, Annamari Lundqvist, Satu Mannisto, Markus Perola, Mats Talback, Niklas Hammar, Hannes Hagstrom",
40594406,Scientific reports,2025,South Korea,10.1038/s41598-025-05268-7,Elevated triglyceride-glucose index a surrogate marker of insulin resistance is associated with a high risk of obstructive sleep apnea,"Hyejin Tae, Tae-Suk Kim",Insulin resistance; KNHANES; Obstructive sleep apnea; STOP-Bang; Triglyceride glucose index
40401370,Circulation,2025,United States,10.1161/CIRCULATIONAHA.124.073457,Proteomic Signatures for Risk Prediction of Atrial Fibrillation,"Hanjin Park, Faye L Norby, Daehoon Kim, Eunsun Jang, Hee Tae Yu, Tae-Hoon Kim, Jae-Sun Uhm, Jung-Hoon Sung, Hui-Nam Pak, Moon-Hyoung Lee, Pil-Sung Yang, Boyoung Joung",atrial fibrillation; genetic risk score; proteomics
